yyyymm,index,d12,e12,b_m,tbl,aaa,baa,lty,ntis,rfree,infl,ltr,corpr,svar,csp,crsp_s_pvw,crsp_s_pvwx
187101,4.44,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,0.004955124519564544,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187102,4.5,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,0.004514457646204628,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187103,4.61,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,0.004242616245562377,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187104,4.74,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,0.00463198780093736,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187105,4.86,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,0.003691359562193827,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187106,4.82,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,0.0033678141504435155,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187107,4.73,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,0.0032501353144837723,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187108,4.79,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,0.003706063684841191,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187109,4.84,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,0.004543841479913492,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187110,4.59,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,0.007016333968854412,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187111,4.64,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,0.006466604617099373,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187112,4.74,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,0.006950382400706362,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187201,4.86,0.2633,0.4025,NaN,NaN,NaN,NaN,NaN,NaN,0.0057478358700357775,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187202,4.88,0.2667,0.405,NaN,NaN,NaN,NaN,NaN,NaN,0.005204749577222117,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187203,5.04,0.27,0.4075,NaN,NaN,NaN,NaN,NaN,NaN,0.005982592679265292,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187204,5.18,0.2733,0.41,NaN,NaN,NaN,NaN,NaN,NaN,0.00601193340582287,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187205,5.18,0.2767,0.4125,NaN,NaN,NaN,NaN,NaN,NaN,0.0049404387519301,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187206,5.13,0.28,0.415,NaN,NaN,NaN,NaN,NaN,NaN,0.004058897780585596,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187207,5.1,0.2833,0.4175,NaN,NaN,NaN,NaN,NaN,NaN,0.004389566719631078,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187208,5.04,0.2867,0.42,NaN,NaN,NaN,NaN,NaN,NaN,0.005204749577222117,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187209,4.95,0.29,0.4225,NaN,NaN,NaN,NaN,NaN,NaN,0.006994350596091521,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187210,4.97,0.2933,0.425,NaN,NaN,NaN,NaN,NaN,NaN,0.007580408547884895,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187211,4.95,0.2967,0.4275,NaN,NaN,NaN,NaN,NaN,NaN,0.008180761709566177,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187212,5.07,0.3,0.43,NaN,NaN,NaN,NaN,NaN,NaN,0.007602379041033367,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187301,5.11,0.3025,0.4325,NaN,NaN,NaN,NaN,NaN,NaN,0.006466604617099373,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187302,5.15,0.305,0.435,NaN,NaN,NaN,NaN,NaN,NaN,0.0065399193269273575,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187303,5.11,0.3075,0.4375,NaN,NaN,NaN,NaN,NaN,NaN,0.007082281187679964,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187304,5.04,0.31,0.44,NaN,NaN,NaN,NaN,NaN,NaN,0.008019726723553553,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187305,5.05,0.3125,0.4425,NaN,NaN,NaN,NaN,NaN,NaN,0.005615760942220815,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187306,4.98,0.315,0.445,NaN,NaN,NaN,NaN,NaN,NaN,0.004668713141658514,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187307,4.97,0.3175,0.4475,NaN,NaN,NaN,NaN,NaN,NaN,0.0043822197087730495,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187308,4.97,0.32,0.45,NaN,NaN,NaN,NaN,NaN,NaN,0.004837632339235504,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187309,4.59,0.3225,0.4525,NaN,NaN,NaN,NaN,NaN,NaN,0.01012577156336346,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187310,4.19,0.325,0.455,NaN,NaN,NaN,NaN,NaN,NaN,0.011746159302572654,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187311,4.04,0.3275,0.4575,NaN,NaN,NaN,NaN,NaN,NaN,0.010286467786573154,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187312,4.42,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,0.00684778242617494,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187401,4.66,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,0.005116653730809214,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187402,4.8,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,0.004058897780585596,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187403,4.73,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,0.004161784279247066,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187404,4.6,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,0.004242616245562377,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187405,4.48,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,0.0038089864899037715,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187406,4.46,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,0.0037354712815181462,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187407,4.46,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,0.0037722295612718022,NaN,NaN,NaN,NaN,NaN,NaN,NaN
