yyyyq,index,d12,e12,b_m,tbl,aaa,baa,lty,cay,ntis,rfree,infl,ltr,corpr,svar,csp,ik,crsp_s_pvw,crsp_s_pvwx,d3,e3
18711,4.61,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.013774838820293622,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18712,4.82,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011736348917070316,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18713,4.84,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011543748284771782,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18714,4.74,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.020572719775116877,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18721,5.04,0.27,0.4075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.017030798005873038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18722,5.13,0.28,0.415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.015085546641866676,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18723,4.95,0.29,0.4225,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.016678779297481627,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18724,5.07,0.3,0.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.023545856655157626,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18731,5.11,0.3075,0.4375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02022351158133473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18732,4.98,0.315,0.445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01841310812021013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18733,4.59,0.3225,0.4525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.019460395956819365,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18734,4.42,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.029152938034695985,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18741,4.73,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.013396376862976789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18742,4.46,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011833370981203739,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18743,4.54,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011707386310645829,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18744,4.54,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011803850015501549,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18751,4.59,0.3225,0.435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010996337288796232,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18752,4.38,0.315,0.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009670799870624247,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18753,4.37,0.3075,0.385,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010107203113174368,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18754,4.37,0.3,0.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.013196917043962308,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18761,4.51,0.3,0.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011603451779031104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18762,4.15,0.3,0.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01022620292492693,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18763,3.69,0.3,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007901879201032136,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18764,3.58,0.3,0.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011477894586622073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18771,3.17,0.2725,0.285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009626242545321961,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18772,2.73,0.245,0.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008109411342630324,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18773,3.24,0.2175,0.295,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010861780568269142,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18774,3.25,0.19,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.013010916629370595,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
